date,raceCource,raceNo,going,raceName,road,money,class,dist,plc,horseNo,horseName,jockey,trainer,awt,dhw,draw,lbw,runPos,finishTime,odds,horseCode,Chinese Name,Code,English Name,Former Name,Sire,Dam,Import Type,Country Of Origin,Age,Foaling Date,Jockey,騎師_x,1ST_x,1DH_x,2ND_x,2DH_x,3RD_x,3DH_x,4TH_x,4DH_x,5TH_x,5DH_x,STARTS_x,STAKES_x,Win%_x,騎師_y,Jockey2,Trainer,練馬師_x,1ST_y,1DH_y,2ND_y,2DH_y,3RD_y,3DH_y,4TH_y,4DH_y,5TH_y,5DH_y,STARTS_y,STAKES_y,Win%_y,練馬師_y,Trainer2,DamRank,SireRank
2018-07-15 00:00:00,ST,1,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,11,3.0,KWAICHUNG BROTHERS,H N Wong,R Gibson,129,1169,13,8,14 13 13 13 11,1:51.37,43,A012,葵涌老友 ,A012,KWAICHUNG BROTHERS,Apache Arrow,Racer's Edge,Shezgonewest,PPG,AUS,6.0,2012-09-29 00:00:00,Wong H.N.,黃皓楠,24,1,23,--,18,--,23,1,27,1,367,26146425.0,6.5,黃皓楠,H N Wong,Gibson R.,高伯新,28,1,24,--,35,--,23,--,29,--,332,30533370.0,8.40,高伯新,R Gibson,11.0,11.0
2018-07-15 00:00:00,ST,1,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,12,6.0,TRIUMPH,W M Lai,C W Chang,129,1145,3,12-1/4,12 11 10 11 12,1:52.03,156,A105,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Lai W.M.,賴維銘,5,--,10,--,17,--,16,3,21,--,309,9378525.0,1.6,賴維銘,W M Lai,Chang C.W.,鄭俊偉,16,--,16,--,33,--,21,1,24,--,356,16814650.0,4.50,鄭俊偉,C W Chang,nan,nan
2018-07-15 00:00:00,ST,1,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,13,11.0,ROCK THE TREE,B Prebble,D E Ferraris,124,1022,8,12-3/4,13 14 14 14 13,1:52.11,24,P272,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Prebble B.,柏寶,20,--,25,--,32,--,23,--,29,--,347,37135000.0,5.8,柏寶,B Prebble,Ferraris D.E.,霍利時,27,--,40,--,41,--,47,1,46,1,488,33464060.0,5.50,霍利時,D E Ferraris,nan,nan
2018-07-15 00:00:00,ST,1,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,14,12.0,JOY PLUS FUN,M Chadwick,D Cruz,116,1116,11,15,10 10 11 12 14,1:52.47,13,V163,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Chadwick M.,蔡明紹,19,--,32,--,20,--,35,--,36,--,386,28801650.0,4.9,蔡明紹,M Chadwick,Cruz D.,告達理,13,--,9,--,10,--,20,--,27,1,212,11727250.0,6.10,告達理,D Cruz,nan,nan
2018-07-15 00:00:00,ST,1,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,WV,nan,SPICY DOUBLE,K C Leung,F C Lor,114,---,---,---,---,---,---,T393,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Leung K.C.,梁家俊,37,--,38,--,44,--,41,1,49,--,553,60011150.0,6.7,梁家俊,K C Leung,Lor F.C.,羅富全,65,--,47,--,49,--,39,--,34,--,432,62296860.0,15.00,羅富全,F C Lor,nan,nan
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,1,13.0,CASH COURIER,J Moreira,D J Hall,115,1230,1,-,5 5 4 4 1,1:50.07,7.3,S417,天賦致寶 ,S417,CASH COURIER,Cash Courier,Strada,Eugenie Gold,PP,AUS,8.0,2010-09-30 00:00:00,Moreira J.,莫雷拉,134,--,98,1,76,--,74,1,50,--,660,162786520.0,20.3,莫雷拉,J Moreira,Hall D.J.,賀賢,20,--,38,--,30,1,30,--,27,--,386,29685140.0,5.20,賀賢,D J Hall,1.0,1.0
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,2,14.0,LE PANACHE,D Whyte,T P Yung,125,1076,2,HD,6 6 7 5 2,1:50.10,3.4,V369,乘勝追擊 ,V369,LE PANACHE,Battle Pride,Acclamation,Heavens Peak,PP,IRE,6.0,2013-05-15 00:00:00,Whyte D.,韋達,28,--,37,--,35,--,35,--,41,1,400,38252500.0,7.0,韋達,D Whyte,Yung T.P.,容天鵬,30,--,24,--,17,--,23,--,20,--,351,31432560.0,8.50,容天鵬,T P Yung,2.0,6.0
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,3,8.0,WONDERFUL CHASER,C Y Ho,K W Lui,123,1152,10,HD,2 3 3 3 3,1:50.11,43,V258,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Ho C.Y.,何澤堯,24,--,22,--,32,--,30,2,31,1,458,27797650.0,5.2,何澤堯,C Y Ho,Lui K.W.,呂健威,46,--,33,--,37,--,26,2,26,--,382,46833915.0,12.00,呂健威,K W Lui,nan,nan
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,4,5.0,SPORTS MASTER,K Teetan,P F Yiu,129,1145,5,1-3/4,11 12 12 10 4,1:50.34,12,A311,五陵霸 ,A311,SPORTS MASTER,----,Magic Albert,Judicial Queen,ISG,AUS,5.0,2013-08-19 00:00:00,Teetan K.,田泰安,52,1,54,1,70,--,60,--,57,--,588,70099585.0,8.8,田泰安,K Teetan,Yiu P.F.,姚本輝,35,--,27,--,46,--,36,--,28,1,414,42458950.0,8.50,姚本輝,P F Yiu,4.0,7.0
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,5,9.0,CLEMENT LEGEND,A Sanna,C S Shum,124,1108,6,2,8 7 6 8 5,1:50.39,22,B137,文武傳奇 ,B137,CLEMENT LEGEND,----,Ocean Park,Spiriting,PPG,NZ,4.0,2014-09-20 00:00:00,Sanna A.,沈拿,17,--,16,--,24,--,36,--,23,1,344,26315150.0,4.9,沈拿,A Sanna,Shum C.S.,沈集成,51,--,41,--,42,--,35,--,33,--,488,63076620.0,10.50,沈集成,C S Shum,5.0,4.0
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,6,4.0,THE SHOW,U Rispoli,C H Yip,130,1088,14,2-1/2,1 1 1 1 6,1:50.46,32,T256,大運舞台 ,T256,THE SHOW,The Show,High Chaparral,The Quarewan,PP,NZ,8.0,2010-09-17 00:00:00,Rispoli U.,李寶利,31,--,33,--,34,--,40,1,36,--,465,39452275.0,6.7,李寶利,U Rispoli,Yip C.H.,葉楚航,40,--,40,--,43,--,41,1,42,--,535,41333450.0,7.50,葉楚航,C H Yip,6.0,8.0
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,7,1.0,SUNNY ORIENT,N Callan,A T Millard,133,1149,9,3-1/2,9 9 8 7 7,1:50.62,28,V302,日東昇 ,V302,SUNNY ORIENT,Net Wealth,Written Tycoon,Dellwood Diva,PP,AUS,6.0,2012-11-28 00:00:00,Callan N.,郭能,25,--,33,--,39,--,34,--,47,2,423,36670300.0,5.9,郭能,N Callan,Millard A.T.,苗禮德,34,--,24,--,30,--,29,--,23,--,291,47944320.0,11.70,苗禮德,A T Millard,7.0,7.0
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,8,2.0,BEST EFFORT,Z Purton,A Lee,132,984,12,3-1/2,3 2 2 2 8,1:50.63,3.3,T220,有衝勁 ,T220,BEST EFFORT,Chinese Jade,Cape Cross,Chinese White,PP,GB,8.0,2011-03-25 00:00:00,Purton Z.,潘頓,136,--,107,1,64,1,60,1,47,--,635,181824240.0,21.4,潘頓,Z Purton,Lee A.,李易達,15,--,23,--,22,--,36,--,25,1,371,16545500.0,4.00,李易達,A Lee,8.0,8.0
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,9,10.0,LITTLE FANTASY,M F Poon,K L Man,119,1222,4,5-1/4,4 4 5 6 9,1:50.91,8.9,T298,小奇妙 ,T298,LITTLE FANTASY,Midnight Allure,Excites,Derrycarna,PP,AUS,7.0,2011-09-13 00:00:00,Poon M.F.,潘明輝,35,--,37,--,50,--,42,--,47,--,454,43238600.0,7.7,潘明輝,M F Poon,Man K.L.,文家良,22,--,25,--,30,--,30,2,47,--,439,27281275.0,5.00,文家良,K L Man,9.0,9.0
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,10,7.0,DOUBLE POINT,S Clipperton,C Fownes,126,1052,7,7-1/2,7 8 9 9 10,1:51.28,54,S246,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Clipperton S.,祈普敦,18,--,27,--,26,1,21,--,22,--,341,35485300.0,5.3,祈普敦,S Clipperton,Fownes C.,方嘉柏,39,--,41,--,40,1,47,1,49,1,522,47634720.0,7.50,方嘉柏,C Fownes,nan,nan
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,11,3.0,KWAICHUNG BROTHERS,H N Wong,R Gibson,129,1169,13,8,14 13 13 13 11,1:51.37,43,A012,葵涌老友 ,A012,KWAICHUNG BROTHERS,Apache Arrow,Racer's Edge,Shezgonewest,PPG,AUS,6.0,2012-09-29 00:00:00,Wong H.N.,黃皓楠,24,1,23,--,18,--,23,1,27,1,367,26146425.0,6.5,黃皓楠,H N Wong,Gibson R.,高伯新,28,1,24,--,35,--,23,--,29,--,332,30533370.0,8.40,高伯新,R Gibson,11.0,11.0
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,12,6.0,TRIUMPH,W M Lai,C W Chang,129,1145,3,12-1/4,12 11 10 11 12,1:52.03,156,A105,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Lai W.M.,賴維銘,5,--,10,--,17,--,16,3,21,--,309,9378525.0,1.6,賴維銘,W M Lai,Chang C.W.,鄭俊偉,16,--,16,--,33,--,21,1,24,--,356,16814650.0,4.50,鄭俊偉,C W Chang,nan,nan
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,13,11.0,ROCK THE TREE,B Prebble,D E Ferraris,124,1022,8,12-3/4,13 14 14 14 13,1:52.11,24,P272,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Prebble B.,柏寶,20,--,25,--,32,--,23,--,29,--,347,37135000.0,5.8,柏寶,B Prebble,Ferraris D.E.,霍利時,27,--,40,--,41,--,47,1,46,1,488,33464060.0,5.50,霍利時,D E Ferraris,nan,nan
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,14,12.0,JOY PLUS FUN,M Chadwick,D Cruz,116,1116,11,15,10 10 11 12 14,1:52.47,13,V163,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Chadwick M.,蔡明紹,19,--,32,--,20,--,35,--,36,--,386,28801650.0,4.9,蔡明紹,M Chadwick,Cruz D.,告達理,13,--,9,--,10,--,20,--,27,1,212,11727250.0,6.10,告達理,D Cruz,nan,nan
2018-07-15 00:00:00,ST,2,GOOD,MEDIC KINGDOM HANDICAP,TURF - "A" Course,660000,Class 5,1800M,WV,nan,SPICY DOUBLE,K C Leung,F C Lor,114,---,---,---,---,---,---,T393,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Leung K.C.,梁家俊,37,--,38,--,44,--,41,1,49,--,553,60011150.0,6.7,梁家俊,K C Leung,Lor F.C.,羅富全,65,--,47,--,49,--,39,--,34,--,432,62296860.0,15.00,羅富全,F C Lor,nan,nan
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,1,7.0,MIDNITE PROMISE,U Rispoli,F C Lor,123,1024,3,-,5 8 8 8 1,1:51.80,38,S379,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Rispoli U.,李寶利,31,--,33,--,34,--,40,1,36,--,465,39452275.0,6.7,李寶利,U Rispoli,Lor F.C.,羅富全,65,--,47,--,49,--,39,--,34,--,432,62296860.0,15.00,羅富全,F C Lor,nan,nan
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,2,3.0,GENERAL DINO,D Whyte,D E Ferraris,131,1032,2,HD,2 6 7 6 2,1:51.84,13,A193,上浦福滿 ,A193,GENERAL DINO,L'Ami Cagnois,Doctor Dino,Arthurs Princess,PP,FR,5.0,2014-03-30 00:00:00,Whyte D.,韋達,28,--,37,--,35,--,35,--,41,1,400,38252500.0,7.0,韋達,D Whyte,Ferraris D.E.,霍利時,27,--,40,--,41,--,47,1,46,1,488,33464060.0,5.50,霍利時,D E Ferraris,2.0,2.0
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,3,13.0,INDIGENOUS STAR,K C Leung,P F Yiu,114,1016,11,1-3/4,12 13 12 10 3,1:52.09,5.8,A081,新界之星 ,A081,INDIGENOUS STAR,----,Exceed And Excel,Nandi,PPG,AUS,5.0,2013-09-09 00:00:00,Leung K.C.,梁家俊,37,--,38,--,44,--,41,1,49,--,553,60011150.0,6.7,梁家俊,K C Leung,Yiu P.F.,姚本輝,35,--,27,--,46,--,36,--,28,1,414,42458950.0,8.50,姚本輝,P F Yiu,4.0,5.0
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,4,10.0,AEROLUMINANCE,M F Poon,P O'Sullivan,113,1211,5,3-1/4,8 10 13 11 4,1:52.34,9.4,V213,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Poon M.F.,潘明輝,35,--,37,--,50,--,42,--,47,--,454,43238600.0,7.7,潘明輝,M F Poon,O'Sullivan P.,蘇保羅,40,--,42,1,39,1,38,--,36,--,452,43964855.0,8.80,蘇保羅,P O'Sullivan,nan,nan
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,5,6.0,RIGHTEOUS MATE,A Sanna,K W Lui,124,1186,7,3-1/2,10 1 2 1 5,1:52.36,22,A419,鑽飾神聖 ,A419,RIGHTEOUS MATE,Righteous Mate,Savabeel,Mill Duckie,PP,NZ,5.0,2013-10-13 00:00:00,Sanna A.,沈拿,17,--,16,--,24,--,36,--,23,1,344,26315150.0,4.9,沈拿,A Sanna,Lui K.W.,呂健威,46,--,33,--,37,--,26,2,26,--,382,46833915.0,12.00,呂健威,K W Lui,5.0,8.0
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,6,14.0,SPINNING DANCER,K C Ng,K L Man,111,1063,8,3-1/2,1 3 4 3 6,1:52.37,139,S078,勁勇威龍 ,S078,SPINNING DANCER,Spinning Dancer,Commands,Annie Daly,PP,NZ,9.0,2009-04-09 00:00:00,Ng K.C.,吳嘉晉,2,--,5,--,8,--,12,--,10,--,275,4990400.0,0.7,吳嘉晉,K C Ng,Man K.L.,文家良,22,--,25,--,30,--,30,2,47,--,439,27281275.0,5.00,文家良,K L Man,6.0,9.0
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,7,5.0,ENJOYABLE SUCCESS,N Callan,C W Chang,125,1050,1,3-1/2,7 7 10 7 7,1:52.37,9.5,B150,如沐春風 ,B150,ENJOYABLE SUCCESS,Majoris,Frankel,Drops,PP,IRE,5.0,2014-02-14 00:00:00,Callan N.,郭能,25,--,33,--,39,--,34,--,47,2,423,36670300.0,5.9,郭能,N Callan,Chang C.W.,鄭俊偉,16,--,16,--,33,--,21,1,24,--,356,16814650.0,4.50,鄭俊偉,C W Chang,7.0,9.0
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,8,1.0,HAY RUN,C Schofield,L Ho,132,1108,10,4-1/4,4 2 3 4 8,1:52.47,18,V337,喜盈運 ,V337,HAY RUN,Automatic Choice,Delightful Choice,Missun,PP,AUS,6.0,2012-12-10 00:00:00,Schofield C.,史卓豐,38,--,27,--,33,--,44,--,31,--,410,55103300.0,9.3,史卓豐,C Schofield,Ho L.,何良,32,--,36,--,36,--,33,1,41,--,467,38093795.0,6.90,何良,L Ho,8.0,8.0
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,9,2.0,BULLISH GLORY,B Prebble,A S Cruz,131,1091,6,4-1/2,6 5 1 2 9,1:52.54,6.3,A118,牛精輝煌 ,A118,BULLISH GLORY,Biz Heart,Roderic O'Connor,Biz Bar,PP,IRE,6.0,2013-04-24 00:00:00,Prebble B.,柏寶,20,--,25,--,32,--,23,--,29,--,347,37135000.0,5.8,柏寶,B Prebble,Cruz A.S.,告東尼,53,--,54,--,50,--,73,1,52,--,583,139304960.0,9.10,告東尼,A S Cruz,9.0,9.0
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,10,12.0,PO CHING TREASURE,C Y Ho,C Fownes,115,1085,4,5-1/2,3 4 6 9 10,1:52.68,4.6,S388,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaT,Ho C.Y.,何澤堯,24,--,22,--,32,--,30,2,31,1,458,27797650.0,5.2,何澤堯,C Y Ho,Fownes C.,方嘉柏,39,--,41,--,40,1,47,1,49,1,522,47634720.0,7.50,方嘉柏,C Fownes,nan,nan
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,11,4.0,GARLIC YEAH,Z Purton,C H Yip,128,991,13,5-3/4,11 9 5 5 11,1:52.71,11,V039,蒜頭爺爺 ,V039,GARLIC YEAH,----,Savabeel,Eden,PPG,NZ,6.0,2012-11-11 00:00:00,Purton Z.,潘頓,136,--,107,1,64,1,60,1,47,--,635,181824240.0,21.4,潘頓,Z Purton,Yip C.H.,葉楚航,40,--,40,--,43,--,41,1,42,--,535,41333450.0,7.50,葉楚航,C H Yip,8.0,8.0
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,12,11.0,ASSOCIATION FANS,M Chadwick,L Ho,117,1190,9,6-1/4,9 12 11 12 12,1:52.79,26,V207,駿協精英 ,V207,ASSOCIATION FANS,Gotham,Onemorenomore,Krysia,PP,AUS,6.0,2012-06-09 00:00:00,Chadwick M.,蔡明紹,19,--,32,--,20,--,35,--,36,--,386,28801650.0,4.9,蔡明紹,M Chadwick,Ho L.,何良,32,--,36,--,36,--,33,1,41,--,467,38093795.0,6.90,何良,L Ho,8.0,8.0
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,13,8.0,GOOD FIT,J Moreira,F C Lor,122,1145,12,22,13 11 9 13 13,1:55.32,8.1,S131,好腳頭 ,S131,GOOD FIT,----,Encosta de Lago,Mrs Squillionaire,PPG,NZ,8.0,2010-03-11 00:00:00,Moreira J.,莫雷拉,134,--,98,1,76,--,74,1,50,--,660,162786520.0,20.3,莫雷拉,J Moreira,Lor F.C.,羅富全,65,--,47,--,49,--,39,--,34,--,432,62296860.0,15.00,羅富全,F C Lor,13.0,13.0
2018-07-15 00:00:00,ST,3,YIELDING,SOLAR HEI HEI HANDICAP,TURF - "A" Course,880000,Class 4,1800M,WV,9.0,HAPPY ROCKY,K Teetan,A Lee,121,---,---,---,---,---,---,S147,其樂無窮 ,S147,HAPPY ROCKY,----,Champs Elysees,Puzzling,PPG,GB,8.0,2011-03-04 00:00:00,Teetan K.,田泰安,52,1,54,1,70,--,60,--,57,--,588,70099585.0,8.8,田泰安,K Teetan,Lee A.,李易達,15,--,23,--,22,--,36,--,25,1,371,16545500.0,4.00,李易達,A Lee,8.0,7.0
